id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
85,Dombivli Return,An honest man from a humble background stumbles upon a photograph that can either be an opportunity of a lifetime or be the end of him. What will he choose?,,,0 days 01:54:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
86,Tumi Ashbe Bole,"Much in love, Nanda and Aankhi are all set to marry each other. However, when Nanda fails to show up at the altar, Aankhi sets out in search of him.",,,0 days 01:40:00,,2021-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
87,Rocky,Rocky is a common young man whose life turns 360 degrees and makes him a deliverer of vengeance.,,,0 days 01:56:00,,2019-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
88,Baadshaho,"An Indian queen seeks her bodyguard's help to seize the gold, which the government had raided from her palace during the Emergency in 1975.",,,0 days 02:09:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
89,Baahubali 2: The Conclusion,Why did Kattappa kill Amarendra Baahubali? Find out the answer to this monumental question as you watch Amarendra's son in action in the sequel.,,,0 days 02:40:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
90,VIP 2 Lalkar,"Civil engineer Raghuvaran is offered a job by Vasundhara, an egoistic businesswoman. When he turns down her offer, she vows to make his life miserable.",,,0 days 01:46:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
91,Prem Ratan Dhan Payo,"Crown Prince Yuvraj Vijay Singh and his doppelganger, a carefree stage actor, Prem Dilwale's lives get entangled in a royal battle of romance and deceit.",,,0 days 02:28:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
92,Taqdeer,Avinash gets separated from his childhood love Priya. Will fate play its part and bring the two estranged lovers together as grown-ups?,,,0 days 02:00:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
93,Dumdaar Khiladi,"It's hate at first sight for Sanju and Anu. But, as time passes, they develop a strong friendship, which is tested when they choose different life partners.",,,0 days 02:13:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
94,Geetha Govindam,Don't believe in love at first sight? Vijay and Geetha's hilarious love story will reinstate your faith in romance.,,,0 days 02:20:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
