id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
136,Rowdy Rathore,"A con man uncovers a deadly secret and must save his lady love, the small-town locals and the little girl who insists she's his daughter, from the mob.",,,04:00:00,,2012.0,,
137,M.S. Dhoni: The Untold Story,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,,,04:00:00,,2016.0,,
138,Gangubai Kathiawadi,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",,,04:00:00,,2022.0,,
139,Stree,"In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",,,04:00:00,,2018.0,,
140,Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",,,04:00:00,,2016.0,,
141,Rustom,"A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",,,04:00:00,,2016.0,,
142,Raazi,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,,,04:00:00,,2018.0,,
143,Ready,"Set in Thailand and India, a case of mistaken identity leads to love, and a man and his family concoct a grand scheme to win over the hearts of a woman and her greedy, conniving uncles.",,,04:00:00,,2011.0,,
144,Jab Tak Hai Jaan,An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.,,,04:00:00,,2012.0,,
145,Agneepath,A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,,,04:00:00,,2012.0,,
146,Badrinath Ki Dulhania,Badrinath is looking for a typical bride; Vaidehi is looking for an independent life. Together they must break with tradition and redefine their role.,,,04:00:00,,2017.0,,
147,Goliyon Ki Rasleela Ram-Leela,"Modern adaptation of William Shakespeare's 'Romeo and Juliet' with an Indian twist, the film focuses on the story of Ram and Leela, their love, lust and the drama afterwards.",,,04:00:00,,2013.0,,
148,Jai Ho,"An upright ex-army man, Jai fights a solitary war against corruption and injustice. With a simple mantra to pay forward, he starts off by helping one person and forms an ever growing circle of people helping each other.",,,04:00:00,,2014.0,,
149,Jolly LLB 2,Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.,,,04:00:00,,2017.0,,
150,Bala,It tells the story of a man who is balding prematurely and how he copes up with the situation.,,,04:00:00,,2019.0,,
151,Ghajini,A short-term memory loss patient goes on a killing spree in order to avenge the death of his ladylove.,,,04:00:00,,2008.0,,
152,Ae Dil Hai Mushkil,"This story explores love - the shapes it takes, the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters, Alizeh and Ayan, as they navigate life, love and heartbreak.",,,04:00:00,,2016.0,,
153,Holiday,"A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",,,04:00:00,,2014.0,,
154,Barfi!,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,,,04:00:00,,2012.0,,
155,Housefull 2,A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,,,04:00:00,,2012.0,,
156,Housefull 3,"A father doesn't want his three daughters to get married. Now, it's up to three men to try to and convince the father that they're a good fit for his daughters.",,,04:00:00,,2016.0,,
157,Gold,The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.,,,04:00:00,,2018.0,,
158,Sonu Ke Titu Ki Sweety,Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.,,,04:00:00,,2018.0,,
159,Bhaag Milkha Bhaag,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",,,04:00:00,,2013.0,,
160,Golmaal 3,"In Goa, Pritam meets his love Geeta after many years. They decide to get married but the feud between their respective children creates tension in their marriage.",,,04:00:00,,2010.0,,
161,Ek Villain,"When his wife becomes the latest victim of a serial killer, Guru blurs the line between good and evil in his pursuit of revenge.",,,04:00:00,,2014.0,,
162,Kaabil,A blind man seeks revenge against a corrupt politician and his brother after his wife is raped and killed.,,,04:00:00,,2017.0,,
163,De De Pyaar De,A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,,,04:00:00,,2019.0,,
164,Bol Bachchan,"All hell breaks loose when a Muslim man breaks a temple lock to save a little child, thus for his safety keeps a Hindu name, where he starts making web of lies.",,,04:00:00,,2012.0,,
165,Raid,A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,,,04:00:00,,2018.0,,
166,2 States,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,,,04:00:00,,2014.0,,
167,Grand Masti,"Meet, Prem, and Amar look to have a blast at their college reunion, though they soon find themselves in another predicament.",,,04:00:00,,2013.0,,
168,Race 2,Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,,,04:00:00,,2013.0,,
169,Singham,A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak.,,,04:00:00,,2011.0,,
